Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
3,24,/app/Datasets/AI4griculture/test/images/1597912869100.jpg,640,480,1,1181.7
5,24,/app/Datasets/AI4griculture/test/images/1597913693056.jpg,640,480,1,1178.9
6,24,/app/Datasets/AI4griculture/test/images/1597922717216.jpg,480,640,2,1182.7
7,24,/app/Datasets/AI4griculture/test/images/1597923601769.jpg,640,480,1,1175.9
8,24,/app/Datasets/AI4griculture/test/images/1597923993611.jpg,640,480,3,1180.8
9,24,/app/Datasets/AI4griculture/test/images/1597924240796.jpg,480,640,1,1185.9
11,24,/app/Datasets/AI4griculture/test/images/1597934907942.jpg,480,640,1,1177.8
12,24,/app/Datasets/AI4griculture/test/images/1598001129497.jpg,480,640,3,1171.2
13,24,/app/Datasets/AI4griculture/test/images/1598008270411.jpg,480,640,10,1181.9
14,24,/app/Datasets/AI4griculture/test/images/1598011515988.jpg,480,640,13,1183.7
15,24,/app/Datasets/AI4griculture/test/images/1598012068631.jpg,480,640,4,1177.5
19,24,/app/Datasets/AI4griculture/test/images/1599031182869.jpg,480,640,2,1183.2
21,24,/app/Datasets/AI4griculture/test/images/1601969690309.jpg,480,640,5,1179.4
22,24,/app/Datasets/AI4griculture/test/images/1601980429759.jpg,480,640,3,1205.2
