Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-12-2025 19:46:02,0,0,0,91,0,0,0,0,11.38,47.343,-256,-256,-256,0%,-256,0%,0,0,62801,2906,44.75,43.937,44.218,31400,0,37,38.25,605,605,1203,1203,2406,2406,3230,3230,47.343
08-12-2025 19:46:03,0,0,0,100,0,0,0,0,12.5,47.656,-256,-256,-256,0%,-256,0%,0,0,62801,2918,44.75,43.937,44.343,31400,0,37,38.25,605,605,1203,1203,2406,2406,3179,3129,47.437
08-12-2025 19:46:04,0,0,0,100,0,0,0,0,12.5,47.437,-256,-256,-256,0%,-256,0%,0,0,62801,2930,44.718,43.875,44.218,31400,0,37,38.5,605,605,1336,1604,2272,2005,3129,3028,47.437
08-12-2025 19:46:05,0,0,0,100,0,0,0,0,12.5,47.781,-256,-256,-256,0%,-256,0%,0,0,62801,2934,44.75,43.875,44.125,31400,0,37,38.25,605,605,1303,1203,2205,2004,3129,3129,47.781
08-12-2025 19:46:06,4,1,4,99,5,3,3,7,15.75,47.656,-256,-256,-256,0%,-256,0%,0,0,62801,3040,44.687,44.156,44.312,31400,0,37,38.25,605,605,1363,1604,2245,2406,3129,3129,47.593
08-12-2025 19:46:07,44,3,22,72,33,33,33,32,34.0,48.031,-256,-256,-256,0%,-256,0%,0,0,62801,3043,44.718,44.093,44.406,31400,0,37,38.25,605,605,1470,2005,2272,2406,3112,3028,48.031
08-12-2025 19:46:08,13,89,10,10,20,19,21,20,25.25,47.875,-256,-256,-256,0%,-256,0%,0,0,62801,3133,44.687,44,44.375,31400,0,37,38.25,605,605,1546,2005,2291,2405,3100,3028,47.875
08-12-2025 19:46:09,19,5,14,97,22,23,21,23,28.0,47.687,-256,-256,-256,0%,-256,0%,0,0,62801,3168,44.718,44.125,44.25,31400,0,37,38.25,605,605,1553,1604,2305,2405,3103,3129,47.906
08-12-2025 19:46:10,24,9,16,95,30,24,30,30,32.25,47.906,-256,-256,-256,0%,-256,0%,0,0,62801,3168,44.718,44.125,44.375,31400,0,37,38.25,605,605,1604,2005,2316,2405,3095,3028,47.906
08-12-2025 19:46:11,1,19,18,95,23,23,23,22,28.0,47.843,-256,-256,-256,0%,-256,0%,0,0,62801,3203,44.843,44.031,44.375,31400,0,37,38.25,605,605,1644,2005,2325,2405,3098,3129,47.843
08-12-2025 19:46:12,39,20,78,18,1,25,25,24,28.75,47.5,-256,-256,-256,0%,-256,0%,0,0,62801,3268,44.781,43.968,44.25,31400,0,37,38.5,595,504,1640,1604,2332,2406,3092,3028,47.5
08-12-2025 19:46:13,10,13,95,22,28,28,29,28,31.62,47.75,-256,-256,-256,0%,-256,0%,0,0,62801,3239,44.843,44,44.375,31400,0,37,38.25,596,605,1670,2006,2338,2406,3086,3028,47.75
08-12-2025 19:46:14,6,14,95,14,21,16,18,19,25.38,47.843,-256,-256,-256,0%,-256,0%,0,0,62801,3274,44.75,44,44.468,31400,0,37,38.25,597,605,1696,2005,2343,2406,3082,3028,47.843
08-12-2025 19:46:15,17,18,21,96,4,24,23,23,28.25,47.875,-256,-256,-256,0%,-256,0%,0,0,62801,3297,44.812,44,44.437,31400,0,37,38.25,590,504,1718,2005,2319,2005,3078,3028,47.875
08-12-2025 19:46:16,22,0,21,95,30,29,28,28,31.62,47.906,-256,-256,-256,0%,-256,0%,0,0,62801,3330,44.781,43.937,44.468,31400,0,37,38.25,591,605,1737,2005,2298,2005,3081,3129,47.718
08-12-2025 19:46:17,7,12,10,97,15,14,5,15,21.88,48.093,-256,-256,-256,0%,-256,0%,0,0,62801,3364,44.781,44,44.375,31400,0,37,38.25,592,605,1729,1605,2305,2406,3084,3129,48.093
08-12-2025 19:46:18,3,25,23,95,33,32,32,32,34.38,47.812,-256,-256,-256,0%,-256,0%,0,0,62801,3364,44.781,44.125,44.406,31400,0,37,38.25,593,605,1745,2006,2311,2406,3081,3028,47.812
08-12-2025 19:46:19,67,17,16,44,2,24,24,23,27.12,48.031,-256,-256,-256,0%,-256,0%,0,0,62801,3400,44.781,44.125,44.5,31400,0,37,38.25,593,605,1760,2005,2316,2406,3078,3028,48.031
08-12-2025 19:46:20,20,21,20,20,15,17,97,0,26.25,47.843,-256,-256,-256,0%,-256,0%,0,0,62801,3436,45.031,44.156,44.375,31400,0,37,38.5,594,605,1751,1604,2321,2406,3081,3129,47.843
08-12-2025 19:46:21,35,35,35,34,14,25,63,46,35.88,48,-256,-256,-256,0%,-256,0%,0,0,62801,3460,44.906,44.062,44.406,31400,0,37,38.5,594,605,1764,2006,2325,2406,3078,3028,48
08-12-2025 19:46:22,21,19,19,20,15,0,15,96,25.62,48,-256,-256,-256,0%,-256,0%,0,0,62801,3471,44.937,44,44.375,31400,0,37,38.25,595,605,1776,2006,2329,2406,3076,3028,48
08-12-2025 19:46:23,6,23,19,23,18,17,16,97,27.38,47.687,-256,-256,-256,0%,-256,0%,0,0,62801,3493,44.875,44.093,44.468,31400,0,37,38.5,595,605,1786,2006,2332,2406,3078,3129,47.687
08-12-2025 19:46:24,19,19,26,30,51,26,25,70,33.25,48.187,-256,-256,-256,0%,-256,0%,0,0,62801,3458,44.875,44.093,44.437,31400,0,37,38.5,596,605,1796,2006,2318,2005,3076,3028,47.968
08-12-2025 19:46:25,0,27,26,27,95,19,20,19,29.12,48.218,-256,-256,-256,0%,-256,0%,0,0,62801,3482,44.781,44.093,44.468,31400,0,37,38.5,596,605,1804,2006,2322,2406,3074,3028,48.218
08-12-2025 19:46:26,18,8,24,25,95,17,17,17,27.62,48.5,-256,-256,-256,0%,-256,0%,0,0,62801,3527,44.906,44.093,44.468,31400,0,37,38.5,596,605,1812,2005,2325,2406,3076,3129,48.5
