Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
4,28,/app/Datasets/wGrape/test/images/IMG_2554.jpg,480,640,5,1198.3
5,28,/app/Datasets/wGrape/test/images/IMG_2561.jpg,480,640,3,1203.4
6,28,/app/Datasets/wGrape/test/images/IMG_2568.jpg,480,640,5,1200.2
7,28,/app/Datasets/wGrape/test/images/IMG_2570.jpg,480,640,7,1193.4
8,28,/app/Datasets/wGrape/test/images/IMG_2592.jpg,480,640,2,1197.2
9,28,/app/Datasets/wGrape/test/images/IMG_2900.jpg,480,640,6,1188.2
14,28,/app/Datasets/wGrape/test/images/_DSC8890.jpg,448,640,2,1128.5
16,28,/app/Datasets/wGrape/test/images/_DSC8914.jpg,448,640,2,1136.0
17,28,/app/Datasets/wGrape/test/images/_DSC8925.jpg,448,640,1,1112.5
19,28,/app/Datasets/wGrape/test/images/_DSC8968.jpg,448,640,4,1117.2
20,28,/app/Datasets/wGrape/test/images/_DSC8969.jpg,448,640,1,1122.2
24,28,/app/Datasets/wGrape/test/images/_DSC9304.JPG,448,640,2,1134.0
25,28,/app/Datasets/wGrape/test/images/_DSC9305.JPG,448,640,2,1125.8
26,28,/app/Datasets/wGrape/test/images/_DSC9312.JPG,448,640,1,1118.6
27,28,/app/Datasets/wGrape/test/images/_DSC9325.JPG,448,640,5,1120.5
28,28,/app/Datasets/wGrape/test/images/_DSC9340.jpg,448,640,8,1115.1
