Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
4,28,/app/Datasets/wGrape/test/images/IMG_2554.jpg,480,640,5,36.1
5,28,/app/Datasets/wGrape/test/images/IMG_2561.jpg,480,640,3,35.9
6,28,/app/Datasets/wGrape/test/images/IMG_2568.jpg,480,640,5,36.1
7,28,/app/Datasets/wGrape/test/images/IMG_2570.jpg,480,640,7,35.9
8,28,/app/Datasets/wGrape/test/images/IMG_2592.jpg,480,640,2,36.2
9,28,/app/Datasets/wGrape/test/images/IMG_2900.jpg,480,640,6,36.0
14,28,/app/Datasets/wGrape/test/images/_DSC8890.jpg,448,640,2,35.6
16,28,/app/Datasets/wGrape/test/images/_DSC8914.jpg,448,640,2,35.7
17,28,/app/Datasets/wGrape/test/images/_DSC8925.jpg,448,640,1,35.7
19,28,/app/Datasets/wGrape/test/images/_DSC8968.jpg,448,640,4,35.6
20,28,/app/Datasets/wGrape/test/images/_DSC8969.jpg,448,640,1,35.7
24,28,/app/Datasets/wGrape/test/images/_DSC9304.JPG,448,640,2,35.7
25,28,/app/Datasets/wGrape/test/images/_DSC9305.JPG,448,640,2,35.5
26,28,/app/Datasets/wGrape/test/images/_DSC9312.JPG,448,640,1,35.7
27,28,/app/Datasets/wGrape/test/images/_DSC9325.JPG,448,640,5,35.6
28,28,/app/Datasets/wGrape/test/images/_DSC9340.jpg,448,640,8,35.6
