Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-10-2025 11:23:56,1,87,0,0,0,0,0,0,11.0,47.562,-256,-256,-256,0%,42.968,28%,0,0,62801,3944,44.718,43.875,44.25,31400,0,37,38.25,706,706,1203,1203,2807,2807,3438,3438,47.562
08-10-2025 11:23:57,1,69,20,0,0,0,0,0,11.25,47.375,-256,-256,-256,0%,42.968,0%,0,0,62801,4198,44.718,43.843,44.187,31400,0,37,38.25,655,605,1203,1203,2807,2807,3336,3235,47.687
08-10-2025 11:23:58,0,0,100,0,0,0,0,0,12.5,47.5,-256,-256,-256,0%,43.156,0%,0,0,62801,4207,44.75,44,44.25,31400,0,37,38.25,638,605,1203,1203,2807,2807,3302,3235,47.5
08-10-2025 11:23:59,3,0,100,0,0,0,0,0,12.88,47.437,-256,-256,-256,0%,-256,0%,0,0,62801,4219,44.718,44,44.281,31400,0,37,38.25,630,605,1303,1604,2706,2406,3259,3129,47.437
08-10-2025 11:24:00,0,0,100,0,0,0,0,0,12.5,47.468,-256,-256,-256,0%,-256,0%,0,0,62801,4224,44.687,44.125,44.218,31400,0,37,38.25,625,605,1283,1203,2646,2406,3213,3028,47.468
08-10-2025 11:24:01,0,0,100,0,0,0,0,0,12.5,47.5,-256,-256,-256,0%,-256,0%,0,0,62801,4224,44.718,43.843,44.125,31400,0,37,38.25,605,504,1269,1203,2539,2005,3182,3028,47.5
08-10-2025 11:24:02,0,0,84,0,0,0,0,0,10.5,47.562,-256,-256,-256,0%,43.25,19%,0,0,62801,4499,44.75,44.156,44.187,31400,0,37,38.25,619,706,1260,1203,2577,2807,3204,3336,47.562
08-10-2025 11:24:03,1,0,81,0,0,0,0,0,10.25,47.312,-256,-256,-256,0%,42.968,0%,0,0,62801,4845,44.718,43.968,44.25,31400,0,37,38.25,617,605,1253,1203,2606,2807,3220,3336,47.312
08-10-2025 11:24:04,3,14,45,0,0,0,0,0,7.75,47.406,-256,-256,-256,0%,43.312,39%,0,0,62801,5096,44.718,44.031,44.312,31400,0,37,38.25,627,706,1247,1203,2673,3208,3244,3438,47.531
08-10-2025 11:24:05,0,77,8,0,0,0,0,0,10.62,47.687,-256,-256,-256,0%,43.156,22%,0,0,62801,5236,44.781,43.968,44.343,31400,0,37,38.25,645,807,1243,1203,2767,3610,3294,3741,47.687
08-10-2025 11:24:06,0,92,0,0,0,0,0,0,11.5,47.593,-256,-256,-256,0%,43.312,0%,0,0,62801,5375,45,44.093,44.312,31400,0,37,38.25,650,706,1239,1203,2843,3610,3325,3640,47.687
08-10-2025 11:24:07,0,90,0,0,0,0,0,0,11.25,47.562,-256,-256,-256,0%,43.093,0%,0,0,62801,5454,44.937,44.031,44.437,31400,0,37,38.25,655,706,1236,1203,2907,3610,3352,3640,47.562
08-10-2025 11:24:08,0,94,0,0,0,0,0,0,11.75,47.687,-256,-256,-256,0%,43.125,0%,0,0,62801,5556,44.812,44.031,44.468,31400,0,37,38.25,659,706,1233,1203,2961,3610,3381,3741,47.687
08-10-2025 11:24:09,2,93,0,0,0,0,2,0,12.12,48,-256,-256,-256,0%,43.531,98%,0,0,62801,5649,44.906,43.968,44.437,31400,0,37,38.5,662,707,1231,1203,3007,3608,3414,3842,48
08-10-2025 11:24:10,0,89,0,0,2,0,0,0,11.38,47.812,-256,-256,-256,0%,43.187,0%,0,0,62801,5714,44.875,43.968,44.406,31400,0,37,38.5,665,706,1229,1203,3047,3610,3429,3640,47.812
08-10-2025 11:24:11,0,91,0,0,0,0,0,0,11.38,47.75,-256,-256,-256,0%,43.937,97%,0,0,62801,5811,44.843,44.25,44.406,31400,0,37,38.5,668,706,1228,1203,3083,3610,3442,3640,47.75
08-10-2025 11:24:12,1,90,0,0,0,0,0,0,11.38,47.593,-256,-256,-256,0%,43.406,0%,0,0,62801,5885,45,44.187,44.406,31400,0,37,38.5,670,707,1226,1203,3114,3610,3454,3640,47.593
08-10-2025 11:24:13,1,93,0,0,0,0,0,0,11.75,47.687,-256,-256,-256,0%,43.468,0%,0,0,62801,5983,45,44.031,44.5,31400,0,37,38.5,666,606,1225,1203,3141,3608,3459,3539,47.687
08-10-2025 11:24:14,0,92,0,0,0,0,0,0,11.5,47.75,-256,-256,-256,0%,43.25,0%,0,0,62801,6057,44.968,44.062,44.468,31400,0,37,38.5,668,706,1224,1203,3166,3610,3468,3640,47.75
08-10-2025 11:24:15,0,87,0,0,0,0,0,0,10.88,47.656,-256,-256,-256,0%,43.343,0%,0,0,62801,6148,44.906,44.062,44.468,31400,0,37,38.5,665,605,1223,1203,3188,3610,3477,3640,47.656
08-10-2025 11:24:16,0,91,0,0,0,0,0,0,11.38,47.906,-256,-256,-256,0%,43.468,98%,0,0,62801,6268,44.906,44.062,44.468,31400,0,37,38.5,667,706,1222,1203,3208,3608,3489,3741,47.906
