Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png,640,384,3,965.1
2,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1032.png,640,384,3,962.3
3,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/104.png,640,384,4,973.2
4,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1053.png,640,384,2,962.4
5,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1080.png,640,384,1,968.0
6,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1107.png,640,384,3,971.2
7,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/111.png,640,384,4,970.9
8,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1115.png,640,384,2,961.5
9,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1135.png,640,384,2,961.1
10,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1149.png,640,384,3,967.6
11,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1169.png,640,384,1,965.1
12,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1183.png,640,384,2,959.3
13,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1204.png,640,384,2,961.2
14,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1221.png,640,384,5,950.2
15,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1222.png,640,384,3,954.9
16,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1223.png,640,384,2,957.6
17,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1224.png,640,384,2,953.8
18,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1228.png,640,384,1,961.8
19,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1234.png,640,384,5,963.7
20,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1235.png,640,384,3,957.7
21,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1248.png,640,384,2,952.4
22,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1256.png,640,384,1,956.9
23,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1258.png,640,384,2,956.8
24,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1262.png,640,384,4,947.9
25,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1272.png,640,384,4,953.1
26,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1279.png,640,384,2,954.0
27,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1285.png,640,384,1,949.1
28,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1288.png,640,384,1,944.1
29,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1290.png,640,384,1,952.0
30,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1292.png,640,384,1,940.6
31,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/13.png,640,384,3,949.6
32,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1329.png,640,384,2,951.7
33,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1336.png,640,384,6,948.9
34,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1351.png,640,384,1,946.4
35,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1353.png,640,384,6,949.2
36,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1366.png,640,384,3,955.4
37,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1374.png,640,384,1,955.0
38,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1380.png,640,384,2,971.4
39,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1385.png,640,384,1,951.6
40,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1389.png,640,384,3,950.6
41,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/139.png,640,384,5,949.6
42,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1413.png,640,384,2,955.3
43,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1414.png,640,384,3,947.6
44,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1421.png,640,384,2,946.5
45,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1430.png,640,384,2,954.5
46,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1442.png,640,384,3,953.9
47,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1452.png,640,384,2,956.5
48,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1482.png,640,384,2,944.1
49,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1488.png,640,384,5,962.0
50,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1489.png,640,384,2,963.6
51,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1503.png,640,384,8,952.2
52,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1526.png,640,384,8,959.1
53,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1538.png,640,384,5,968.8
54,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1545.png,640,384,4,969.9
55,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1551.png,640,384,5,959.8
56,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1554.png,640,384,4,952.0
57,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1557.png,640,384,5,958.4
58,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1561.png,640,384,5,951.3
59,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/157.png,640,384,6,948.3
60,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1570.png,640,384,4,951.5
61,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/158.png,640,384,8,966.3
62,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1581.png,640,384,5,948.2
63,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1614.png,640,384,1,966.9
64,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1634.png,640,384,6,972.7
65,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1644.png,640,384,10,954.8
66,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1657.png,640,384,2,962.5
67,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1659.png,640,384,3,961.4
68,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1662.png,640,384,5,957.9
69,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1682.png,640,384,8,959.8
70,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1683.png,640,384,2,963.4
71,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1698.png,640,384,7,959.7
72,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1707.png,640,384,2,959.5
73,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1714.png,640,384,7,959.4
74,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1736.png,640,384,3,948.6
75,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1746.png,640,384,2,965.9
76,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1764.png,640,384,4,975.8
77,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1765.png,640,384,5,965.8
78,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/177.png,640,384,5,955.4
79,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/18.png,640,384,4,965.2
80,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1818.png,640,384,7,965.5
81,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1841.png,640,384,2,967.3
82,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1853.png,640,384,3,962.3
83,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1857.png,640,384,4,966.8
