Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-13-2025 08:27:45,91,0,0,0,0,0,0,0,11.38,47.656,-256,-256,-256,0%,-256,0%,0,0,62801,2923,44.937,44.156,44.5,31400,0,37,38.5,605,605,1203,1203,2406,2406,3230,3230,47.625
08-13-2025 08:27:46,100,0,0,0,0,0,0,0,12.5,47.906,-256,-256,-256,0%,-256,0%,0,0,62801,2935,44.937,44.125,44.625,31400,0,37,38.5,605,605,1203,1203,2205,2004,3129,3028,47.906
08-13-2025 08:27:47,100,0,0,0,0,0,0,0,12.5,47.687,-256,-256,-256,0%,-256,0%,0,0,62801,2946,44.968,44.218,44.593,31400,0,37,38.5,605,605,1336,1604,2272,2406,3095,3028,47.687
08-13-2025 08:27:48,100,0,0,0,0,0,0,4,13.0,47.656,-256,-256,-256,0%,-256,0%,0,0,62801,2951,45.031,44.218,44.562,31400,0,37,38.5,605,605,1303,1203,2305,2406,3103,3129,47.656
08-13-2025 08:27:49,99,2,1,0,1,1,2,0,13.25,47.875,-256,-256,-256,0%,-256,0%,0,0,62801,3032,45.031,44.25,44.625,31400,0,37,38.75,605,605,1363,1604,2325,2405,3108,3129,47.906
08-13-2025 08:27:50,25,96,24,25,28,30,11,19,32.25,47.812,-256,-256,-256,0%,-256,0%,0,0,62801,3041,45.031,44.218,44.5,31400,0,37,38.5,588,504,1470,2005,2272,2005,3095,3028,47.812
08-13-2025 08:27:51,18,96,19,17,1,24,23,24,27.75,47.843,-256,-256,-256,0%,-256,0%,0,0,62801,3100,45.062,44.187,44.625,31400,0,37,38.5,590,605,1546,2005,2291,2405,3085,3028,47.843
08-13-2025 08:27:52,0,96,19,18,24,25,24,23,28.62,48.343,-256,-256,-256,0%,-256,0%,0,0,62801,3092,45.062,44.187,44.656,31400,0,37,38.75,592,605,1604,2005,2255,2004,3078,3028,48.093
08-13-2025 08:27:53,4,96,16,17,17,21,21,21,26.62,47.968,-256,-256,-256,0%,-256,0%,0,0,62801,3146,45.031,44.187,44.625,31400,0,37,38.5,593,605,1648,2005,2271,2405,3072,3028,47.968
08-13-2025 08:27:54,23,98,22,22,0,28,29,29,31.38,48.125,-256,-256,-256,0%,-256,0%,0,0,62801,3152,45,44.156,44.593,31400,0,37,38.75,584,504,1644,1604,2245,2005,3068,3028,48.125
08-13-2025 08:27:55,30,95,28,29,3,35,37,37,36.75,48.281,-256,-256,-256,0%,-256,0%,0,0,62801,3174,45.125,44.375,44.656,31400,0,37,38.5,586,605,1713,2406,2259,2405,3064,3028,48.281
08-13-2025 08:27:56,0,96,17,17,22,24,22,22,27.5,48.187,-256,-256,-256,0%,-256,0%,0,0,62801,3200,45.031,44.281,44.625,31400,0,37,38.5,588,605,1737,2005,2271,2405,3061,3028,48.468
