Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,83,/app/Datasets/Grapes/test/images/106.jpg,576,640,1,1444.3
2,83,/app/Datasets/Grapes/test/images/11.jpg,576,640,2,1440.0
3,83,/app/Datasets/Grapes/test/images/113.jpg,576,640,3,1447.4
4,83,/app/Datasets/Grapes/test/images/130.jpg,576,640,2,1445.5
5,83,/app/Datasets/Grapes/test/images/149.jpg,576,640,1,1433.1
6,83,/app/Datasets/Grapes/test/images/179.jpg,576,640,2,1435.1
7,83,/app/Datasets/Grapes/test/images/195.jpg,576,640,1,1462.0
8,83,/app/Datasets/Grapes/test/images/211.jpg,576,640,3,1433.6
9,83,/app/Datasets/Grapes/test/images/218.jpg,576,640,1,1434.7
10,83,/app/Datasets/Grapes/test/images/248.jpg,576,640,2,1429.7
11,83,/app/Datasets/Grapes/test/images/257.jpg,576,640,3,1433.8
12,83,/app/Datasets/Grapes/test/images/26.jpg,576,640,1,1435.6
13,83,/app/Datasets/Grapes/test/images/268.jpg,576,640,2,1441.8
14,83,/app/Datasets/Grapes/test/images/279.jpg,576,640,1,1438.3
15,83,/app/Datasets/Grapes/test/images/288.jpg,576,640,1,1435.8
16,83,/app/Datasets/Grapes/test/images/302.jpg,576,640,2,1440.1
17,83,/app/Datasets/Grapes/test/images/303.jpg,576,640,1,1421.1
18,83,/app/Datasets/Grapes/test/images/309.jpg,576,640,1,1451.1
19,83,/app/Datasets/Grapes/test/images/319.jpg,576,640,3,1440.6
20,83,/app/Datasets/Grapes/test/images/320.jpg,576,640,4,1424.1
21,83,/app/Datasets/Grapes/test/images/35.jpg,576,640,11,1438.9
22,83,/app/Datasets/Grapes/test/images/350.jpg,576,640,2,1432.8
23,83,/app/Datasets/Grapes/test/images/36.jpg,576,640,6,1437.1
24,83,/app/Datasets/Grapes/test/images/360.jpg,576,640,1,1428.7
25,83,/app/Datasets/Grapes/test/images/361.jpg,576,640,2,1432.7
26,83,/app/Datasets/Grapes/test/images/362.jpg,576,640,1,1442.5
27,83,/app/Datasets/Grapes/test/images/363.jpg,576,640,7,1444.2
28,83,/app/Datasets/Grapes/test/images/364.jpg,576,640,1,1427.3
29,83,/app/Datasets/Grapes/test/images/377.jpg,576,640,2,1437.1
30,83,/app/Datasets/Grapes/test/images/395.jpg,576,640,2,1445.3
31,83,/app/Datasets/Grapes/test/images/453.jpg,576,640,2,1441.7
32,83,/app/Datasets/Grapes/test/images/46.jpg,576,640,3,1465.7
33,83,/app/Datasets/Grapes/test/images/465.jpg,576,640,2,1450.3
34,83,/app/Datasets/Grapes/test/images/466.jpg,576,640,3,1439.1
35,83,/app/Datasets/Grapes/test/images/488.jpg,576,640,1,1439.0
36,83,/app/Datasets/Grapes/test/images/489.jpg,576,640,1,1439.6
37,83,/app/Datasets/Grapes/test/images/492.jpg,576,640,1,1435.6
38,83,/app/Datasets/Grapes/test/images/509.jpg,576,640,2,1431.7
39,83,/app/Datasets/Grapes/test/images/53.jpg,576,640,4,1451.3
40,83,/app/Datasets/Grapes/test/images/539.jpg,576,640,4,1451.7
41,83,/app/Datasets/Grapes/test/images/548.jpg,576,640,2,1437.9
42,83,/app/Datasets/Grapes/test/images/558.jpg,576,640,2,1439.0
43,83,/app/Datasets/Grapes/test/images/58.jpg,576,640,1,1446.5
44,83,/app/Datasets/Grapes/test/images/580.jpg,576,640,5,1443.6
45,83,/app/Datasets/Grapes/test/images/589.jpg,576,640,5,1448.6
46,83,/app/Datasets/Grapes/test/images/591.jpg,576,640,3,1456.9
47,83,/app/Datasets/Grapes/test/images/611.jpg,576,640,3,1450.3
48,83,/app/Datasets/Grapes/test/images/613.jpg,576,640,2,1430.7
49,83,/app/Datasets/Grapes/test/images/621.jpg,576,640,4,1431.6
50,83,/app/Datasets/Grapes/test/images/623.jpg,576,640,3,1435.3
51,83,/app/Datasets/Grapes/test/images/626.jpg,576,640,1,1440.9
52,83,/app/Datasets/Grapes/test/images/63.jpg,576,640,2,1436.8
53,83,/app/Datasets/Grapes/test/images/662.jpg,576,640,3,1435.1
54,83,/app/Datasets/Grapes/test/images/667.jpg,576,640,6,1450.3
55,83,/app/Datasets/Grapes/test/images/682.jpg,576,640,2,1474.8
56,83,/app/Datasets/Grapes/test/images/688.jpg,576,640,4,1436.8
57,83,/app/Datasets/Grapes/test/images/694.jpg,576,640,5,1436.6
58,83,/app/Datasets/Grapes/test/images/740.jpg,576,640,1,1433.4
59,83,/app/Datasets/Grapes/test/images/76.jpg,576,640,6,1433.3
60,83,/app/Datasets/Grapes/test/images/788.jpg,576,640,5,1441.7
61,83,/app/Datasets/Grapes/test/images/792.jpg,576,640,2,1441.9
62,83,/app/Datasets/Grapes/test/images/794.jpg,576,640,1,1447.1
63,83,/app/Datasets/Grapes/test/images/795.jpg,576,640,11,1453.4
64,83,/app/Datasets/Grapes/test/images/81.jpg,576,640,2,1440.2
65,83,/app/Datasets/Grapes/test/images/820.jpg,576,640,2,1429.1
66,83,/app/Datasets/Grapes/test/images/823.jpg,576,640,1,1437.5
67,83,/app/Datasets/Grapes/test/images/835.jpg,576,640,3,1433.5
68,83,/app/Datasets/Grapes/test/images/84.jpg,576,640,2,1442.3
69,83,/app/Datasets/Grapes/test/images/846.jpg,576,640,1,1439.4
70,83,/app/Datasets/Grapes/test/images/859.jpg,576,640,3,1438.5
71,83,/app/Datasets/Grapes/test/images/865.jpg,576,640,2,1437.6
72,83,/app/Datasets/Grapes/test/images/870.jpg,576,640,7,1436.6
73,83,/app/Datasets/Grapes/test/images/874.jpg,576,640,3,1437.8
74,83,/app/Datasets/Grapes/test/images/881.jpg,576,640,1,1441.0
75,83,/app/Datasets/Grapes/test/images/887.jpg,576,640,4,1447.3
76,83,/app/Datasets/Grapes/test/images/894.jpg,576,640,1,1452.6
77,83,/app/Datasets/Grapes/test/images/907.jpg,576,640,2,1445.7
78,83,/app/Datasets/Grapes/test/images/914.jpg,576,640,7,1441.5
79,83,/app/Datasets/Grapes/test/images/925.jpg,576,640,2,1446.7
80,83,/app/Datasets/Grapes/test/images/956.jpg,576,640,3,1448.7
81,83,/app/Datasets/Grapes/test/images/96.jpg,576,640,3,1435.6
82,83,/app/Datasets/Grapes/test/images/965.jpg,576,640,1,1436.6
83,83,/app/Datasets/Grapes/test/images/974.jpg,576,640,2,1440.7
