Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-13-2025 19:06:03,0,0,0,0,2,89,0,0,11.38,47.906,-256,-256,-256,0%,43.531,0%,0,0,62801,2922,45.156,44.437,44.687,31400,0,37,38.75,605,605,1203,1203,2807,2807,3235,3235,48.187
08-13-2025 19:06:04,0,1,0,0,0,100,0,0,12.62,48.125,-256,-256,-256,0%,-256,0%,0,0,62801,2934,45.218,44.406,44.687,31400,0,37,38.75,605,605,1203,1203,2606,2406,3182,3129,48.125
08-13-2025 19:06:05,1,0,0,0,0,100,0,0,12.62,48,-256,-256,-256,0%,-256,0%,0,0,62801,2947,45.218,44.343,44.562,31400,0,37,38.75,605,605,1337,1605,2539,2406,3130,3028,48
08-13-2025 19:06:06,2,0,0,0,0,100,0,0,12.75,47.906,-256,-256,-256,0%,-256,0%,0,0,62801,2951,45.281,44.375,44.625,31400,0,38,38.75,605,605,1303,1203,2506,2406,3130,3129,47.906
08-13-2025 19:06:07,91,2,2,2,2,7,4,3,14.12,48.375,-256,-256,-256,0%,-256,0%,0,0,62801,3080,45.187,44.343,44.906,31400,0,38,38.75,605,605,1363,1605,2486,2406,3130,3129,48.375
08-13-2025 19:06:08,61,52,23,22,11,26,31,29,31.88,48.375,-256,-256,-256,0%,-256,0%,0,0,62801,3111,45.218,44.343,44.843,31400,0,38,38.75,605,605,1470,2006,2472,2406,3129,3129,48.187
08-13-2025 19:06:09,4,98,10,10,10,15,14,13,21.75,48.125,-256,-256,-256,0%,-256,0%,0,0,62801,3241,45.125,44.343,44.812,31400,0,38,38.75,590,504,1490,1605,2463,2406,3115,3028,48.125
08-13-2025 19:06:10,23,94,8,16,28,32,31,32,33.0,48.406,-256,-256,-256,0%,-256,0%,0,0,62801,3263,45.187,44.312,44.781,31400,0,38,38.75,592,605,1554,2006,2456,2406,3117,3129,48.406
08-13-2025 19:06:11,4,97,9,11,14,14,15,16,22.5,48.125,-256,-256,-256,0%,-256,0%,0,0,62801,3343,45.187,44.562,44.718,31400,0,38,38.75,582,504,1560,1605,2450,2406,3107,3028,48
08-13-2025 19:06:12,9,16,94,23,33,32,30,31,33.5,48.218,-256,-256,-256,0%,-256,0%,0,0,62801,3350,45.125,44.531,44.687,31400,0,38,38.75,584,605,1604,2006,2446,2406,3109,3129,48.218
08-13-2025 19:06:13,1,98,9,11,14,14,14,14,21.88,48.187,-256,-256,-256,0%,-256,0%,0,0,62801,3427,45.187,44.468,44.812,31400,0,38,38.75,577,504,1604,1605,2442,2406,3101,3028,48.187
08-13-2025 19:06:14,23,94,0,22,31,31,30,30,32.62,48.562,-256,-256,-256,0%,-256,0%,0,0,62801,3449,45.187,44.468,44.875,31400,0,38,38.75,579,605,1638,2006,2439,2406,3104,3129,48.562
