Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,96,/app/Datasets/Green_grapes/test/images/105.png,384,640,3,995.9
2,96,/app/Datasets/Green_grapes/test/images/116.png,384,640,4,971.1
3,96,/app/Datasets/Green_grapes/test/images/140.png,384,640,2,967.8
4,96,/app/Datasets/Green_grapes/test/images/176.png,384,640,1,961.8
5,96,/app/Datasets/Green_grapes/test/images/179.png,384,640,1,961.0
6,96,/app/Datasets/Green_grapes/test/images/189.png,384,640,3,969.7
7,96,/app/Datasets/Green_grapes/test/images/192.png,384,640,5,964.5
8,96,/app/Datasets/Green_grapes/test/images/193.png,384,640,4,984.3
9,96,/app/Datasets/Green_grapes/test/images/199.png,384,640,4,962.3
10,96,/app/Datasets/Green_grapes/test/images/24.png,384,640,7,958.6
11,96,/app/Datasets/Green_grapes/test/images/280.png,384,640,1,979.5
12,96,/app/Datasets/Green_grapes/test/images/281.png,384,640,3,967.7
13,96,/app/Datasets/Green_grapes/test/images/282.png,384,640,4,960.0
14,96,/app/Datasets/Green_grapes/test/images/300.png,384,640,2,980.8
15,96,/app/Datasets/Green_grapes/test/images/302.png,384,640,2,969.2
16,96,/app/Datasets/Green_grapes/test/images/303.png,384,640,4,963.0
17,96,/app/Datasets/Green_grapes/test/images/307.png,384,640,3,965.0
18,96,/app/Datasets/Green_grapes/test/images/31.png,384,640,6,969.7
19,96,/app/Datasets/Green_grapes/test/images/310.png,384,640,2,960.7
20,96,/app/Datasets/Green_grapes/test/images/316.png,384,640,7,964.3
21,96,/app/Datasets/Green_grapes/test/images/323.png,384,640,5,964.5
22,96,/app/Datasets/Green_grapes/test/images/325.png,384,640,3,975.2
23,96,/app/Datasets/Green_grapes/test/images/333.png,384,640,2,970.9
24,96,/app/Datasets/Green_grapes/test/images/339.png,384,640,3,963.0
25,96,/app/Datasets/Green_grapes/test/images/342.png,384,640,4,975.6
26,96,/app/Datasets/Green_grapes/test/images/345.png,384,640,3,960.0
27,96,/app/Datasets/Green_grapes/test/images/350.png,384,640,3,962.3
28,96,/app/Datasets/Green_grapes/test/images/362.png,384,640,7,968.5
29,96,/app/Datasets/Green_grapes/test/images/373.png,384,640,6,964.2
30,96,/app/Datasets/Green_grapes/test/images/379.png,384,640,4,966.4
31,96,/app/Datasets/Green_grapes/test/images/389.png,384,640,4,965.1
32,96,/app/Datasets/Green_grapes/test/images/420.png,384,640,7,970.5
33,96,/app/Datasets/Green_grapes/test/images/428.png,384,640,4,972.3
34,96,/app/Datasets/Green_grapes/test/images/430.png,384,640,5,977.7
35,96,/app/Datasets/Green_grapes/test/images/434.png,384,640,4,961.6
36,96,/app/Datasets/Green_grapes/test/images/442.png,384,640,6,967.4
37,96,/app/Datasets/Green_grapes/test/images/452.png,384,640,10,966.8
38,96,/app/Datasets/Green_grapes/test/images/457.png,384,640,4,967.8
39,96,/app/Datasets/Green_grapes/test/images/464.png,384,640,5,961.9
40,96,/app/Datasets/Green_grapes/test/images/472.png,384,640,2,961.6
41,96,/app/Datasets/Green_grapes/test/images/479.png,384,640,7,958.0
42,96,/app/Datasets/Green_grapes/test/images/486.png,384,640,4,953.9
43,96,/app/Datasets/Green_grapes/test/images/491.png,384,640,3,974.9
44,96,/app/Datasets/Green_grapes/test/images/500.png,384,640,3,953.1
45,96,/app/Datasets/Green_grapes/test/images/503.png,384,640,4,959.0
46,96,/app/Datasets/Green_grapes/test/images/508.png,384,640,3,949.9
47,96,/app/Datasets/Green_grapes/test/images/530.png,384,640,5,960.8
48,96,/app/Datasets/Green_grapes/test/images/540.png,384,640,3,968.9
49,96,/app/Datasets/Green_grapes/test/images/546.png,384,640,5,962.0
50,96,/app/Datasets/Green_grapes/test/images/547.png,384,640,6,961.9
51,96,/app/Datasets/Green_grapes/test/images/55.png,384,640,5,968.1
52,96,/app/Datasets/Green_grapes/test/images/563.png,384,640,7,957.1
53,96,/app/Datasets/Green_grapes/test/images/569.png,384,640,6,972.3
54,96,/app/Datasets/Green_grapes/test/images/573.png,384,640,4,977.2
55,96,/app/Datasets/Green_grapes/test/images/597.png,384,640,3,967.2
56,96,/app/Datasets/Green_grapes/test/images/600.png,384,640,2,963.5
57,96,/app/Datasets/Green_grapes/test/images/627.png,384,640,3,971.2
58,96,/app/Datasets/Green_grapes/test/images/629.png,384,640,3,966.5
59,96,/app/Datasets/Green_grapes/test/images/634.png,384,640,1,970.3
60,96,/app/Datasets/Green_grapes/test/images/638.png,384,640,3,963.5
61,96,/app/Datasets/Green_grapes/test/images/66.png,384,640,3,963.6
62,96,/app/Datasets/Green_grapes/test/images/674.png,384,640,1,958.9
63,96,/app/Datasets/Green_grapes/test/images/681.png,384,640,2,960.2
64,96,/app/Datasets/Green_grapes/test/images/690.png,384,640,2,960.9
65,96,/app/Datasets/Green_grapes/test/images/702.png,384,640,5,961.1
66,96,/app/Datasets/Green_grapes/test/images/708.png,384,640,4,959.3
67,96,/app/Datasets/Green_grapes/test/images/711.png,384,640,4,966.9
68,96,/app/Datasets/Green_grapes/test/images/728.png,384,640,1,964.0
69,96,/app/Datasets/Green_grapes/test/images/73.png,384,640,1,961.6
70,96,/app/Datasets/Green_grapes/test/images/732.png,384,640,2,964.3
71,96,/app/Datasets/Green_grapes/test/images/741.png,384,640,2,968.3
72,96,/app/Datasets/Green_grapes/test/images/759.png,384,640,1,970.5
73,96,/app/Datasets/Green_grapes/test/images/761.png,384,640,3,964.5
74,96,/app/Datasets/Green_grapes/test/images/763.png,384,640,1,954.2
75,96,/app/Datasets/Green_grapes/test/images/775.png,384,640,3,958.5
76,96,/app/Datasets/Green_grapes/test/images/779.png,384,640,3,964.1
77,96,/app/Datasets/Green_grapes/test/images/79.png,384,640,3,957.7
78,96,/app/Datasets/Green_grapes/test/images/790.png,384,640,2,970.8
79,96,/app/Datasets/Green_grapes/test/images/797.png,384,640,3,966.1
80,96,/app/Datasets/Green_grapes/test/images/814.png,384,640,3,967.5
81,96,/app/Datasets/Green_grapes/test/images/823.png,384,640,4,973.3
82,96,/app/Datasets/Green_grapes/test/images/836.png,384,640,3,965.4
83,96,/app/Datasets/Green_grapes/test/images/84.png,384,640,3,971.6
84,96,/app/Datasets/Green_grapes/test/images/866.png,384,640,3,969.6
85,96,/app/Datasets/Green_grapes/test/images/876.png,384,640,2,962.2
86,96,/app/Datasets/Green_grapes/test/images/88.png,384,640,2,971.1
87,96,/app/Datasets/Green_grapes/test/images/880.png,384,640,6,965.2
88,96,/app/Datasets/Green_grapes/test/images/9.png,384,640,3,949.7
89,96,/app/Datasets/Green_grapes/test/images/903.png,384,640,2,954.9
90,96,/app/Datasets/Green_grapes/test/images/907.png,384,640,4,964.2
91,96,/app/Datasets/Green_grapes/test/images/912.png,384,640,4,956.2
92,96,/app/Datasets/Green_grapes/test/images/915.png,384,640,2,965.9
93,96,/app/Datasets/Green_grapes/test/images/917.png,384,640,1,963.6
94,96,/app/Datasets/Green_grapes/test/images/933.png,384,640,6,970.3
95,96,/app/Datasets/Green_grapes/test/images/950.png,384,640,3,966.7
96,96,/app/Datasets/Green_grapes/test/images/97.png,384,640,4,963.3
