Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-14-2025 09:46:21,1,0,2,88,0,0,0,0,11.38,48.031,-256,-256,-256,0%,-256,0%,0,0,62801,2921,45.25,44.281,44.812,31400,0,38,39,605,605,1203,1203,2405,2405,3230,3230,47.843
08-14-2025 09:46:22,0,0,0,100,0,0,0,0,12.5,48.187,-256,-256,-256,0%,-256,0%,0,0,62801,2934,45.218,44.625,44.75,31400,0,38,38.75,605,605,1203,1203,2405,2405,3179,3129,48.187
08-14-2025 09:46:23,0,0,0,100,0,0,0,0,12.5,48.062,-256,-256,-256,0%,-256,0%,0,0,62801,2949,45.218,44.562,44.75,31400,0,38,38.75,605,605,1336,1604,2405,2405,3129,3028,48.062
08-14-2025 09:46:24,0,4,0,100,0,0,1,0,13.12,48.062,-256,-256,-256,0%,-256,0%,0,0,62801,2950,45.343,44.531,44.687,31400,0,38,39,605,605,1303,1202,2304,2004,3129,3129,48.125
08-14-2025 09:46:25,8,6,5,95,8,5,8,8,17.88,48.218,-256,-256,-256,0%,-256,0%,0,0,62801,3010,45.343,44.468,44.875,31400,0,38,38.75,605,605,1363,1603,2324,2404,3129,3129,48.218
08-14-2025 09:46:26,95,28,28,28,1,38,35,36,36.12,48.187,-256,-256,-256,0%,-256,0%,0,0,62801,3026,45.281,44.406,44.937,31400,0,38,38.75,605,605,1469,2004,2337,2404,3129,3129,48.187
08-14-2025 09:46:27,81,43,26,27,1,34,34,34,35.0,48.312,-256,-256,-256,0%,-256,0%,0,0,62801,3033,45.343,44.375,44.968,31400,0,38,38.75,605,605,1546,2004,2290,2004,3129,3129,48.312
08-14-2025 09:46:28,29,96,28,27,0,33,34,34,35.12,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,3035,45.375,44.468,44.906,31400,0,38,38.75,605,605,1603,2004,2304,2405,3116,3028,48.375
08-14-2025 09:46:29,26,95,25,2,31,33,33,33,34.75,48.25,-256,-256,-256,0%,-256,0%,0,0,62801,3006,45.312,44.468,44.968,31400,0,38,39,605,605,1647,2004,2271,2004,3106,3028,48.25
08-14-2025 09:46:30,12,96,28,25,23,35,34,34,35.88,48.562,-256,-256,-256,0%,-256,0%,0,0,62801,3013,45.312,44.5,44.937,31400,0,38,39,605,605,1683,2004,2284,2405,3108,3129,48.562
08-14-2025 09:46:31,27,96,27,2,34,33,35,33,35.88,48.437,-256,-256,-256,0%,-256,0%,0,0,62801,3039,45.375,44.625,44.937,31400,0,38,39,605,605,1712,2005,2259,2004,3110,3129,48.437
08-14-2025 09:46:32,0,95,24,26,34,33,34,34,35.0,48.312,-256,-256,-256,0%,-256,0%,0,0,62801,3053,45.375,44.625,44.937,31400,0,38,39,605,605,1737,2005,2271,2405,3103,3028,48.312
08-14-2025 09:46:33,13,96,26,26,14,33,33,34,34.38,48.25,-256,-256,-256,0%,-256,0%,0,0,62801,3051,45.437,44.562,44.968,31400,0,38,39,605,605,1757,2005,2250,2004,3105,3129,48.25
08-14-2025 09:46:34,2,96,27,28,36,34,34,35,36.5,48.562,-256,-256,-256,0%,-256,0%,0,0,62801,3053,45.281,44.593,45.062,31400,0,38,39,605,605,1775,2005,2261,2405,3100,3028,48.343
08-14-2025 09:46:35,0,95,24,25,34,34,34,34,35.0,48.25,-256,-256,-256,0%,-256,0%,0,0,62801,3025,45.437,44.593,45.062,31400,0,38,39,605,605,1790,2005,2244,2004,3102,3129,48.25
08-14-2025 09:46:36,34,49,26,41,31,31,33,32,34.62,48.437,-256,-256,-256,0%,-256,0%,0,0,62801,3060,45.312,44.531,45,31400,0,38,39,605,605,1804,2005,2229,2004,3103,3129,48.437
08-14-2025 09:46:37,96,22,25,18,6,33,33,33,33.25,48.375,-256,-256,-256,0%,-256,0%,0,0,62801,3068,45.375,44.781,45.031,31400,0,38,39,605,605,1815,2005,2239,2405,3105,3129,48.187
08-14-2025 09:46:38,96,19,26,26,9,34,32,33,34.38,48.562,-256,-256,-256,0%,-256,0%,0,0,62801,3068,45.375,44.781,45.062,31400,0,38,39,605,605,1826,2005,2248,2405,3106,3129,48.562
08-14-2025 09:46:39,96,0,27,28,36,36,35,35,36.62,48.406,-256,-256,-256,0%,-256,0%,0,0,62801,3071,45.531,44.625,45.062,31400,0,38,38.75,605,605,1835,2005,2257,2405,3107,3129,48.406
08-14-2025 09:46:40,95,1,27,28,35,35,36,34,36.38,48.343,-256,-256,-256,0%,-256,0%,0,0,62801,3073,45.531,44.718,45.062,31400,0,38,39,605,605,1844,2005,2264,2405,3108,3129,48.343
08-14-2025 09:46:41,0,29,29,96,34,35,34,34,36.38,48.343,-256,-256,-256,0%,-256,0%,0,0,62801,3072,45.5,44.687,44.906,31400,0,38,39,605,605,1851,2005,2252,2004,3109,3129,48.437
08-14-2025 09:46:42,3,28,29,95,38,37,36,37,37.88,48.312,-256,-256,-256,0%,-256,0%,0,0,62801,3044,45.5,44.625,44.968,31400,0,38,39,605,605,1858,2005,2259,2405,3110,3129,48.312
08-14-2025 09:46:43,28,0,27,96,35,36,34,33,36.12,48.281,-256,-256,-256,0%,-256,0%,0,0,62801,3088,45.5,44.468,44.937,31400,0,38,39,605,605,1865,2005,2265,2405,3111,3129,48.281
08-14-2025 09:46:44,25,14,26,96,33,33,17,34,34.75,48.625,-256,-256,-256,0%,-256,0%,0,0,62801,3064,45.468,44.531,44.937,31400,0,38,39,605,605,1871,2004,2271,2405,3112,3129,48.375
08-14-2025 09:46:45,29,28,28,96,36,36,0,34,35.88,48.375,-256,-256,-256,0%,-256,0%,0,0,62801,3092,45.406,44.5,45,31400,0,38,39,605,605,1876,2004,2276,2405,3112,3129,48.375
08-14-2025 09:46:46,1,28,27,95,36,35,35,34,36.38,48.625,-256,-256,-256,0%,-256,0%,0,0,62801,3094,45.5,44.593,45,31400,0,38,39,605,605,1881,2004,2281,2405,3113,3129,48.625
08-14-2025 09:46:48,23,3,26,95,35,34,34,34,35.5,48.468,-256,-256,-256,0%,-256,0%,0,0,62801,3060,45.468,44.562,45,31400,0,38,39,605,605,1885,2004,2286,2405,3114,3129,48.25
08-14-2025 09:46:49,15,26,27,95,20,36,37,35,36.38,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3099,45.5,44.562,45.062,31400,0,38,39,605,605,1890,2005,2290,2405,3114,3129,48.656
08-14-2025 09:46:50,24,26,26,96,4,34,34,33,34.62,48.5,-256,-256,-256,0%,-256,0%,0,0,62801,3106,45.468,44.562,45,31400,0,38,39,605,605,1894,2005,2294,2405,3115,3129,48.5
08-14-2025 09:46:51,51,35,15,53,37,35,37,37,37.5,48.687,-256,-256,-256,0%,-256,0%,0,0,62801,3110,45.468,44.843,45.187,31400,0,38,39,605,605,1897,2005,2298,2405,3115,3129,48.687
08-14-2025 09:46:52,2,95,25,26,33,35,33,33,35.25,48.656,-256,-256,-256,0%,-256,0%,0,0,62801,3118,45.468,44.812,45.125,31400,0,38,39,605,605,1901,2005,2301,2405,3115,3129,48.656
08-14-2025 09:46:53,4,96,25,26,32,33,32,32,35.0,48.625,-256,-256,-256,0%,-256,0%,0,0,62801,3118,45.687,44.718,45.031,31400,0,38,39,605,605,1904,2005,2304,2405,3116,3129,48.625
08-14-2025 09:46:54,2,96,27,29,36,36,35,35,37.0,48.531,-256,-256,-256,0%,-256,0%,0,0,62801,3124,45.625,44.625,45.125,31400,0,38,39,605,605,1907,2005,2307,2405,3116,3129,48.656
