Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
2,100,/app/Datasets/Purple_grapes/test/images/1029.png,384,640,2,980.3
3,100,/app/Datasets/Purple_grapes/test/images/1038.png,384,640,5,969.4
4,100,/app/Datasets/Purple_grapes/test/images/1073.png,384,640,4,973.4
5,100,/app/Datasets/Purple_grapes/test/images/1083.png,384,640,3,966.3
6,100,/app/Datasets/Purple_grapes/test/images/1100.png,384,640,6,963.1
7,100,/app/Datasets/Purple_grapes/test/images/1112.png,384,640,5,968.7
8,100,/app/Datasets/Purple_grapes/test/images/1118.png,384,640,4,975.3
9,100,/app/Datasets/Purple_grapes/test/images/1143.png,384,640,2,967.1
10,100,/app/Datasets/Purple_grapes/test/images/1156.png,384,640,2,964.0
11,100,/app/Datasets/Purple_grapes/test/images/1175.png,384,640,6,969.0
12,100,/app/Datasets/Purple_grapes/test/images/1179.png,384,640,8,956.7
13,100,/app/Datasets/Purple_grapes/test/images/1182.png,384,640,1,963.0
14,100,/app/Datasets/Purple_grapes/test/images/1184.png,384,640,5,980.2
15,100,/app/Datasets/Purple_grapes/test/images/1185.png,384,640,4,977.0
16,100,/app/Datasets/Purple_grapes/test/images/1188.png,384,640,4,982.2
17,100,/app/Datasets/Purple_grapes/test/images/1194.png,384,640,5,974.1
18,100,/app/Datasets/Purple_grapes/test/images/1197.png,384,640,3,965.6
19,100,/app/Datasets/Purple_grapes/test/images/1207.png,384,640,2,971.4
20,100,/app/Datasets/Purple_grapes/test/images/1209.png,384,640,6,976.8
21,100,/app/Datasets/Purple_grapes/test/images/1214.png,384,640,2,971.1
22,100,/app/Datasets/Purple_grapes/test/images/1229.png,384,640,4,974.2
23,100,/app/Datasets/Purple_grapes/test/images/1231.png,384,640,3,967.2
24,100,/app/Datasets/Purple_grapes/test/images/1232.png,384,640,3,987.4
25,100,/app/Datasets/Purple_grapes/test/images/1275.png,384,640,3,985.2
26,100,/app/Datasets/Purple_grapes/test/images/1286.png,384,640,4,981.1
27,100,/app/Datasets/Purple_grapes/test/images/1304.png,384,640,4,982.8
28,100,/app/Datasets/Purple_grapes/test/images/1310.png,384,640,7,976.1
29,100,/app/Datasets/Purple_grapes/test/images/1314.png,384,640,4,975.4
30,100,/app/Datasets/Purple_grapes/test/images/1315.png,384,640,5,995.1
31,100,/app/Datasets/Purple_grapes/test/images/1318.png,384,640,6,964.6
32,100,/app/Datasets/Purple_grapes/test/images/1325.png,384,640,7,972.2
33,100,/app/Datasets/Purple_grapes/test/images/1335.png,384,640,5,971.9
34,100,/app/Datasets/Purple_grapes/test/images/1336.png,384,640,3,976.3
35,100,/app/Datasets/Purple_grapes/test/images/1346.png,384,640,2,973.3
36,100,/app/Datasets/Purple_grapes/test/images/1359.png,384,640,6,985.6
37,100,/app/Datasets/Purple_grapes/test/images/1378.png,384,640,7,996.3
38,100,/app/Datasets/Purple_grapes/test/images/1396.png,384,640,6,984.4
39,100,/app/Datasets/Purple_grapes/test/images/1410.png,384,640,9,985.9
40,100,/app/Datasets/Purple_grapes/test/images/1416.png,384,640,4,980.3
41,100,/app/Datasets/Purple_grapes/test/images/1436.png,384,640,7,977.9
42,100,/app/Datasets/Purple_grapes/test/images/1439.png,384,640,5,978.9
43,100,/app/Datasets/Purple_grapes/test/images/1455.png,384,640,4,994.1
44,100,/app/Datasets/Purple_grapes/test/images/1457.png,384,640,3,988.3
45,100,/app/Datasets/Purple_grapes/test/images/1473.png,384,640,6,984.2
46,100,/app/Datasets/Purple_grapes/test/images/1481.png,384,640,4,977.4
47,100,/app/Datasets/Purple_grapes/test/images/1500.png,384,640,4,968.3
48,100,/app/Datasets/Purple_grapes/test/images/1502.png,384,640,3,979.2
49,100,/app/Datasets/Purple_grapes/test/images/1507.png,384,640,5,971.3
50,100,/app/Datasets/Purple_grapes/test/images/1508.png,384,640,3,963.5
51,100,/app/Datasets/Purple_grapes/test/images/1512.png,384,640,1,969.2
52,100,/app/Datasets/Purple_grapes/test/images/1517.png,384,640,5,967.1
53,100,/app/Datasets/Purple_grapes/test/images/1533.png,384,640,2,965.7
54,100,/app/Datasets/Purple_grapes/test/images/1536.png,384,640,2,973.3
55,100,/app/Datasets/Purple_grapes/test/images/1546.png,384,640,5,981.7
56,100,/app/Datasets/Purple_grapes/test/images/1554.png,384,640,2,969.7
57,100,/app/Datasets/Purple_grapes/test/images/1558.png,384,640,3,975.0
58,100,/app/Datasets/Purple_grapes/test/images/1563.png,384,640,4,974.7
59,100,/app/Datasets/Purple_grapes/test/images/1569.png,384,640,7,977.5
60,100,/app/Datasets/Purple_grapes/test/images/1576.png,384,640,7,984.0
61,100,/app/Datasets/Purple_grapes/test/images/1600.png,384,640,5,981.7
62,100,/app/Datasets/Purple_grapes/test/images/1608.png,384,640,6,982.5
63,100,/app/Datasets/Purple_grapes/test/images/1610.png,384,640,4,977.5
64,100,/app/Datasets/Purple_grapes/test/images/1642.png,384,640,6,987.3
65,100,/app/Datasets/Purple_grapes/test/images/1665.png,384,640,7,972.4
66,100,/app/Datasets/Purple_grapes/test/images/1676.png,384,640,3,988.9
67,100,/app/Datasets/Purple_grapes/test/images/1690.png,384,640,9,988.4
68,100,/app/Datasets/Purple_grapes/test/images/1700.png,384,640,6,979.2
69,100,/app/Datasets/Purple_grapes/test/images/1727.png,384,640,3,979.1
70,100,/app/Datasets/Purple_grapes/test/images/1729.png,384,640,5,975.4
71,100,/app/Datasets/Purple_grapes/test/images/1730.png,384,640,1,976.8
72,100,/app/Datasets/Purple_grapes/test/images/1745.png,384,640,7,973.1
73,100,/app/Datasets/Purple_grapes/test/images/1756.png,384,640,4,969.1
74,100,/app/Datasets/Purple_grapes/test/images/1764.png,384,640,3,966.6
75,100,/app/Datasets/Purple_grapes/test/images/1770.png,384,640,7,982.0
76,100,/app/Datasets/Purple_grapes/test/images/1780.png,384,640,3,986.8
77,100,/app/Datasets/Purple_grapes/test/images/1785.png,384,640,5,967.6
78,100,/app/Datasets/Purple_grapes/test/images/1795.png,384,640,5,976.9
79,100,/app/Datasets/Purple_grapes/test/images/1804.png,384,640,6,984.0
80,100,/app/Datasets/Purple_grapes/test/images/1825.png,384,640,4,972.8
81,100,/app/Datasets/Purple_grapes/test/images/1832.png,384,640,7,985.2
82,100,/app/Datasets/Purple_grapes/test/images/1833.png,384,640,3,994.7
83,100,/app/Datasets/Purple_grapes/test/images/1857.png,384,640,5,993.4
84,100,/app/Datasets/Purple_grapes/test/images/1869.png,384,640,9,972.8
85,100,/app/Datasets/Purple_grapes/test/images/1878.png,384,640,1,972.7
86,100,/app/Datasets/Purple_grapes/test/images/1884.png,384,640,5,986.8
87,100,/app/Datasets/Purple_grapes/test/images/1890.png,384,640,8,980.1
88,100,/app/Datasets/Purple_grapes/test/images/1891.png,384,640,6,964.8
89,100,/app/Datasets/Purple_grapes/test/images/1905.png,384,640,3,972.4
90,100,/app/Datasets/Purple_grapes/test/images/1914.png,384,640,6,975.6
91,100,/app/Datasets/Purple_grapes/test/images/1920.png,384,640,7,973.3
92,100,/app/Datasets/Purple_grapes/test/images/1930.png,384,640,7,991.5
93,100,/app/Datasets/Purple_grapes/test/images/1949.png,384,640,4,973.5
94,100,/app/Datasets/Purple_grapes/test/images/955.png,384,640,3,983.0
95,100,/app/Datasets/Purple_grapes/test/images/959.png,384,640,2,957.6
96,100,/app/Datasets/Purple_grapes/test/images/961.png,384,640,3,982.8
97,100,/app/Datasets/Purple_grapes/test/images/987.png,384,640,1,980.5
98,100,/app/Datasets/Purple_grapes/test/images/989.png,384,640,6,972.8
99,100,/app/Datasets/Purple_grapes/test/images/991.png,384,640,2,972.6
100,100,/app/Datasets/Purple_grapes/test/images/997.png,384,640,2,976.9
