Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
2,100,/app/Datasets/Purple_grapes/test/images/1029.png,384,640,2,40.0
3,100,/app/Datasets/Purple_grapes/test/images/1038.png,384,640,5,35.2
4,100,/app/Datasets/Purple_grapes/test/images/1073.png,384,640,4,34.9
5,100,/app/Datasets/Purple_grapes/test/images/1083.png,384,640,3,35.0
6,100,/app/Datasets/Purple_grapes/test/images/1100.png,384,640,6,35.0
7,100,/app/Datasets/Purple_grapes/test/images/1112.png,384,640,5,35.3
8,100,/app/Datasets/Purple_grapes/test/images/1118.png,384,640,4,34.9
9,100,/app/Datasets/Purple_grapes/test/images/1143.png,384,640,2,35.1
10,100,/app/Datasets/Purple_grapes/test/images/1156.png,384,640,2,34.9
11,100,/app/Datasets/Purple_grapes/test/images/1175.png,384,640,6,35.2
12,100,/app/Datasets/Purple_grapes/test/images/1179.png,384,640,8,36.6
13,100,/app/Datasets/Purple_grapes/test/images/1182.png,384,640,1,35.3
14,100,/app/Datasets/Purple_grapes/test/images/1184.png,384,640,5,35.1
15,100,/app/Datasets/Purple_grapes/test/images/1185.png,384,640,4,35.2
16,100,/app/Datasets/Purple_grapes/test/images/1188.png,384,640,4,35.2
17,100,/app/Datasets/Purple_grapes/test/images/1194.png,384,640,5,35.2
18,100,/app/Datasets/Purple_grapes/test/images/1197.png,384,640,3,35.2
19,100,/app/Datasets/Purple_grapes/test/images/1207.png,384,640,2,35.2
20,100,/app/Datasets/Purple_grapes/test/images/1209.png,384,640,6,35.1
21,100,/app/Datasets/Purple_grapes/test/images/1214.png,384,640,2,35.3
22,100,/app/Datasets/Purple_grapes/test/images/1229.png,384,640,4,35.3
23,100,/app/Datasets/Purple_grapes/test/images/1231.png,384,640,3,35.3
24,100,/app/Datasets/Purple_grapes/test/images/1232.png,384,640,3,35.3
25,100,/app/Datasets/Purple_grapes/test/images/1275.png,384,640,3,35.1
26,100,/app/Datasets/Purple_grapes/test/images/1286.png,384,640,4,35.2
27,100,/app/Datasets/Purple_grapes/test/images/1304.png,384,640,4,35.4
28,100,/app/Datasets/Purple_grapes/test/images/1310.png,384,640,7,35.1
29,100,/app/Datasets/Purple_grapes/test/images/1314.png,384,640,4,35.1
30,100,/app/Datasets/Purple_grapes/test/images/1315.png,384,640,5,35.2
31,100,/app/Datasets/Purple_grapes/test/images/1318.png,384,640,6,35.1
32,100,/app/Datasets/Purple_grapes/test/images/1325.png,384,640,7,35.1
33,100,/app/Datasets/Purple_grapes/test/images/1335.png,384,640,5,35.0
34,100,/app/Datasets/Purple_grapes/test/images/1336.png,384,640,3,35.2
35,100,/app/Datasets/Purple_grapes/test/images/1346.png,384,640,2,35.2
36,100,/app/Datasets/Purple_grapes/test/images/1359.png,384,640,6,35.0
37,100,/app/Datasets/Purple_grapes/test/images/1378.png,384,640,7,35.1
38,100,/app/Datasets/Purple_grapes/test/images/1396.png,384,640,6,35.2
39,100,/app/Datasets/Purple_grapes/test/images/1410.png,384,640,9,35.0
40,100,/app/Datasets/Purple_grapes/test/images/1416.png,384,640,4,35.2
41,100,/app/Datasets/Purple_grapes/test/images/1436.png,384,640,7,35.2
42,100,/app/Datasets/Purple_grapes/test/images/1439.png,384,640,5,35.0
43,100,/app/Datasets/Purple_grapes/test/images/1455.png,384,640,4,35.2
44,100,/app/Datasets/Purple_grapes/test/images/1457.png,384,640,3,35.1
45,100,/app/Datasets/Purple_grapes/test/images/1473.png,384,640,6,35.1
46,100,/app/Datasets/Purple_grapes/test/images/1481.png,384,640,4,35.2
47,100,/app/Datasets/Purple_grapes/test/images/1500.png,384,640,4,35.0
48,100,/app/Datasets/Purple_grapes/test/images/1502.png,384,640,3,35.1
49,100,/app/Datasets/Purple_grapes/test/images/1507.png,384,640,5,35.0
50,100,/app/Datasets/Purple_grapes/test/images/1508.png,384,640,3,35.1
51,100,/app/Datasets/Purple_grapes/test/images/1512.png,384,640,1,35.2
52,100,/app/Datasets/Purple_grapes/test/images/1517.png,384,640,5,35.3
53,100,/app/Datasets/Purple_grapes/test/images/1533.png,384,640,2,35.1
54,100,/app/Datasets/Purple_grapes/test/images/1536.png,384,640,2,35.2
55,100,/app/Datasets/Purple_grapes/test/images/1546.png,384,640,5,35.1
56,100,/app/Datasets/Purple_grapes/test/images/1554.png,384,640,2,35.2
57,100,/app/Datasets/Purple_grapes/test/images/1558.png,384,640,3,35.3
58,100,/app/Datasets/Purple_grapes/test/images/1563.png,384,640,4,35.1
59,100,/app/Datasets/Purple_grapes/test/images/1569.png,384,640,7,35.1
60,100,/app/Datasets/Purple_grapes/test/images/1576.png,384,640,7,35.2
61,100,/app/Datasets/Purple_grapes/test/images/1600.png,384,640,5,35.1
62,100,/app/Datasets/Purple_grapes/test/images/1608.png,384,640,6,35.2
63,100,/app/Datasets/Purple_grapes/test/images/1610.png,384,640,4,35.0
64,100,/app/Datasets/Purple_grapes/test/images/1642.png,384,640,6,35.2
65,100,/app/Datasets/Purple_grapes/test/images/1665.png,384,640,7,35.0
66,100,/app/Datasets/Purple_grapes/test/images/1676.png,384,640,3,35.0
67,100,/app/Datasets/Purple_grapes/test/images/1690.png,384,640,9,35.2
68,100,/app/Datasets/Purple_grapes/test/images/1700.png,384,640,6,35.2
69,100,/app/Datasets/Purple_grapes/test/images/1727.png,384,640,3,35.2
70,100,/app/Datasets/Purple_grapes/test/images/1729.png,384,640,5,35.2
71,100,/app/Datasets/Purple_grapes/test/images/1730.png,384,640,1,35.2
72,100,/app/Datasets/Purple_grapes/test/images/1745.png,384,640,7,35.0
73,100,/app/Datasets/Purple_grapes/test/images/1756.png,384,640,4,34.9
74,100,/app/Datasets/Purple_grapes/test/images/1764.png,384,640,3,35.2
75,100,/app/Datasets/Purple_grapes/test/images/1770.png,384,640,7,35.1
76,100,/app/Datasets/Purple_grapes/test/images/1780.png,384,640,3,34.9
77,100,/app/Datasets/Purple_grapes/test/images/1785.png,384,640,5,34.8
78,100,/app/Datasets/Purple_grapes/test/images/1795.png,384,640,5,35.0
79,100,/app/Datasets/Purple_grapes/test/images/1804.png,384,640,6,34.9
80,100,/app/Datasets/Purple_grapes/test/images/1825.png,384,640,4,35.1
81,100,/app/Datasets/Purple_grapes/test/images/1832.png,384,640,7,35.1
82,100,/app/Datasets/Purple_grapes/test/images/1833.png,384,640,3,34.8
83,100,/app/Datasets/Purple_grapes/test/images/1857.png,384,640,5,35.1
84,100,/app/Datasets/Purple_grapes/test/images/1869.png,384,640,9,35.1
85,100,/app/Datasets/Purple_grapes/test/images/1878.png,384,640,1,35.0
86,100,/app/Datasets/Purple_grapes/test/images/1884.png,384,640,5,35.1
87,100,/app/Datasets/Purple_grapes/test/images/1890.png,384,640,8,35.1
88,100,/app/Datasets/Purple_grapes/test/images/1891.png,384,640,6,35.0
89,100,/app/Datasets/Purple_grapes/test/images/1905.png,384,640,3,35.2
90,100,/app/Datasets/Purple_grapes/test/images/1914.png,384,640,6,35.1
91,100,/app/Datasets/Purple_grapes/test/images/1920.png,384,640,7,35.0
92,100,/app/Datasets/Purple_grapes/test/images/1930.png,384,640,7,35.1
93,100,/app/Datasets/Purple_grapes/test/images/1949.png,384,640,4,35.1
94,100,/app/Datasets/Purple_grapes/test/images/955.png,384,640,3,35.0
95,100,/app/Datasets/Purple_grapes/test/images/959.png,384,640,2,35.7
96,100,/app/Datasets/Purple_grapes/test/images/961.png,384,640,3,35.1
97,100,/app/Datasets/Purple_grapes/test/images/987.png,384,640,1,35.0
98,100,/app/Datasets/Purple_grapes/test/images/989.png,384,640,6,35.2
99,100,/app/Datasets/Purple_grapes/test/images/991.png,384,640,2,35.0
100,100,/app/Datasets/Purple_grapes/test/images/997.png,384,640,2,35.0
