Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-10-2025 08:35:50,1,0,87,0,0,0,0,0,11.0,47.437,-256,-256,-256,0%,43.156,26%,0,0,62801,3915,44.718,44.093,44.187,31400,0,37,38.25,706,706,1203,1203,2807,2807,3336,3336,47.437
08-10-2025 08:35:51,1,0,90,0,0,0,0,0,11.38,47.5,-256,-256,-256,0%,42.968,0%,0,0,62801,4148,44.687,44.062,44.156,31400,0,37,38.25,655,605,1203,1203,2807,2807,3336,3336,47.5
08-10-2025 08:35:52,0,0,100,0,0,0,0,0,12.5,47.468,-256,-256,-256,0%,43.031,0%,0,0,62801,4157,44.718,43.781,44.093,31400,0,37,38.25,638,605,1203,1203,2807,2807,3302,3235,47.468
08-10-2025 08:35:53,0,0,100,0,0,0,0,0,12.5,47.468,-256,-256,-256,0%,-256,0%,0,0,62801,4166,44.687,44.093,44.093,31400,0,37,38.25,630,605,1203,1203,2706,2406,3259,3129,47.531
08-10-2025 08:35:54,0,0,100,0,1,0,0,4,13.12,47.468,-256,-256,-256,0%,-256,0%,0,0,62801,4175,44.718,43.875,44.187,31400,0,37,38.25,625,605,1203,1203,2566,2005,3212,3028,47.375
08-10-2025 08:35:55,1,0,100,0,0,0,0,0,12.62,47.625,-256,-256,-256,0%,-256,0%,0,0,62801,4176,44.656,43.937,44.218,31400,0,37,38.25,605,504,1203,1203,2472,2005,3182,3028,47.625
08-10-2025 08:35:56,0,0,83,0,0,0,0,0,10.38,47.437,-256,-256,-256,0%,43.031,38%,0,0,62801,4470,44.687,43.843,44.218,31400,0,37,38.25,619,706,1203,1203,2520,2807,3204,3336,47.437
08-10-2025 08:35:57,0,0,80,0,0,0,0,0,10.0,47.437,-256,-256,-256,0%,43.093,0%,0,0,62801,4800,44.687,44.125,44.218,31400,0,37,38.25,617,605,1203,1203,2556,2807,3207,3235,47.593
08-10-2025 08:35:58,0,0,60,0,0,0,0,0,7.5,47.437,-256,-256,-256,0%,42.968,34%,0,0,62801,5083,44.781,44,44.281,31400,0,37,38.25,627,706,1203,1203,2628,3208,3244,3539,47.437
08-10-2025 08:35:59,1,6,47,0,0,0,0,33,10.88,47.5,-256,-256,-256,0%,43.093,7%,0,0,62801,5167,44.75,44.062,44.343,31400,0,37,38.25,645,807,1203,1203,2726,3610,3294,3741,47.5
08-10-2025 08:36:00,0,89,0,0,0,0,0,0,11.12,47.75,-256,-256,-256,0%,43.562,67%,0,0,62801,5193,44.75,44.031,44.312,31400,0,37,38.5,669,910,1203,1203,2880,4412,3353,3943,47.75
08-10-2025 08:36:01,0,88,0,0,0,0,0,0,11.0,47.718,-256,-256,-256,0%,43.593,80%,0,0,62801,5222,44.968,44,44.406,31400,0,37,38.25,689,910,1203,1203,3007,4412,3410,4044,47.718
08-10-2025 08:36:02,0,87,0,0,0,0,0,0,10.88,47.656,-256,-256,-256,0%,43.218,0%,0,0,62801,5249,44.906,44.031,44.5,31400,0,37,38.25,698,808,1203,1203,3115,4412,3451,3943,47.656
08-10-2025 08:36:03,1,87,0,0,0,0,0,0,11.0,47.843,-256,-256,-256,0%,43.625,63%,0,0,62801,5273,44.968,44.093,44.5,31400,0,37,38.5,713,910,1203,1203,3208,4412,3486,3943,47.781
08-10-2025 08:36:04,0,88,0,0,0,0,0,0,11.0,47.75,-256,-256,-256,0%,43.437,67%,0,0,62801,5299,44.906,44.031,44.468,31400,0,37,38.25,726,910,1203,1203,3288,4412,3517,3943,47.75
08-10-2025 08:36:05,0,87,0,0,0,0,0,0,10.88,48.062,-256,-256,-256,0%,43.656,18%,0,0,62801,5326,44.875,44.062,44.5,31400,0,37,38.5,738,910,1203,1203,3358,4412,3543,3943,48.062
08-10-2025 08:36:06,0,64,22,0,0,0,0,0,10.75,47.687,-256,-256,-256,0%,43.531,0%,0,0,62801,5349,44.812,43.968,44.5,31400,0,37,38.5,742,808,1203,1203,3420,4412,3567,3943,47.687
08-10-2025 08:36:07,2,0,87,0,0,0,0,0,11.12,47.625,-256,-256,-256,0%,43.718,75%,0,0,62801,5376,44.906,44.187,44.468,31400,0,37,38.5,751,910,1203,1203,3475,4412,3588,3943,47.625
08-10-2025 08:36:08,0,0,85,0,0,0,0,0,10.62,47.687,-256,-256,-256,0%,43.312,0%,0,0,62801,5400,45.125,44.281,44.406,31400,0,37,38.5,754,808,1203,1203,3525,4412,3606,3943,47.75
08-10-2025 08:36:09,1,0,87,0,0,0,0,0,11.0,47.687,-256,-256,-256,0%,43.593,46%,0,0,62801,5427,44.968,44.187,44.562,31400,0,37,38.5,762,910,1203,1203,3569,4412,3623,3943,47.687
