Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,30,/app/Datasets/wgisd/test/images/CDY_2017.jpg,448,640,13,1131.5
2,30,/app/Datasets/wgisd/test/images/CDY_20180427_153421615_BURST001.jpg,480,640,12,1197.4
3,30,/app/Datasets/wgisd/test/images/CDY_2032.jpg,448,640,14,1109.7
4,30,/app/Datasets/wgisd/test/images/CDY_2033.jpg,448,640,16,1109.1
5,30,/app/Datasets/wgisd/test/images/CDY_2044.jpg,448,640,13,1109.6
6,30,/app/Datasets/wgisd/test/images/CDY_2053.jpg,448,640,9,1108.6
7,30,/app/Datasets/wgisd/test/images/CFR_1621.jpg,448,640,17,1120.4
8,30,/app/Datasets/wgisd/test/images/CFR_1630.jpg,448,640,11,1114.9
9,30,/app/Datasets/wgisd/test/images/CFR_1634.jpg,448,640,14,1101.9
10,30,/app/Datasets/wgisd/test/images/CFR_1641.jpg,448,640,21,1111.8
11,30,/app/Datasets/wgisd/test/images/CFR_1650.jpg,448,640,6,1096.9
12,30,/app/Datasets/wgisd/test/images/CFR_1661.jpg,448,640,9,1113.3
13,30,/app/Datasets/wgisd/test/images/CFR_20180427_141010086_HDR.jpg,480,640,15,1192.1
14,30,/app/Datasets/wgisd/test/images/CFR_20180427_141115778_HDR.jpg,480,640,14,1193.1
15,30,/app/Datasets/wgisd/test/images/CFR_20180427_141119803_HDR.jpg,480,640,14,1191.1
16,30,/app/Datasets/wgisd/test/images/CFR_20180427_141224656.jpg,480,640,18,1197.6
17,30,/app/Datasets/wgisd/test/images/CFR_20180427_141254316_HDR.jpg,480,640,10,1185.6
18,30,/app/Datasets/wgisd/test/images/CSV_1867.jpg,448,640,10,1117.9
19,30,/app/Datasets/wgisd/test/images/CSV_1874.jpg,448,640,11,1111.5
20,30,/app/Datasets/wgisd/test/images/CSV_1881.jpg,448,640,8,1097.0
21,30,/app/Datasets/wgisd/test/images/CSV_1892.jpg,448,640,10,1109.7
22,30,/app/Datasets/wgisd/test/images/SVB_1947.jpg,448,640,17,1100.0
23,30,/app/Datasets/wgisd/test/images/SVB_1970.jpg,448,640,18,1106.2
24,30,/app/Datasets/wgisd/test/images/SVB_20180427_152106643_HDR.jpg,480,640,20,1189.7
25,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1265.jpg,448,640,8,1109.5
26,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1275.jpg,448,640,7,1094.2
27,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1285.jpg,448,640,19,1104.6
28,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1300.jpg,448,640,8,1118.5
29,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1312.jpg,448,640,13,1129.9
30,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1338.jpg,448,640,7,1104.4
