Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-14-2025 12:34:39,0,0,0,0,92,0,0,0,11.5,48.312,-256,-256,-256,0%,43.718,0%,0,0,62801,2920,45.343,44.656,44.718,31400,0,38,38.75,605,605,1203,1203,2807,2807,3235,3235,48.187
08-14-2025 12:34:40,84,0,0,0,17,0,0,0,12.62,48.187,-256,-256,-256,0%,-256,0%,0,0,62801,2933,45.25,44.656,44.906,31400,0,38,39,605,605,1203,1203,2606,2406,3182,3129,48.187
08-14-2025 12:34:41,100,0,0,0,0,0,0,0,12.5,48,-256,-256,-256,0%,-256,0%,0,0,62801,2948,45.187,44.562,44.906,31400,0,38,38.75,605,605,1336,1604,2539,2406,3130,3028,48
08-14-2025 12:34:42,100,0,0,0,0,0,0,4,13.0,47.968,-256,-256,-256,0%,-256,0%,0,0,62801,2950,45.437,44.562,44.843,31400,0,38,39,605,605,1303,1203,2506,2405,3130,3129,47.968
08-14-2025 12:34:43,76,5,3,27,0,6,5,5,15.88,48.187,-256,-256,-256,0%,-256,0%,0,0,62801,2994,45.5,44.593,44.812,31400,0,38,38.75,605,605,1363,1604,2485,2405,3130,3129,48.187
08-14-2025 12:34:44,74,27,30,51,21,33,19,31,35.75,48.281,-256,-256,-256,0%,-256,0%,0,0,62801,3040,45.375,44.656,44.875,31400,0,38,39,605,605,1470,2005,2472,2405,3129,3129,48.281
08-14-2025 12:34:45,48,22,25,72,7,31,29,31,33.12,48.375,-256,-256,-256,0%,-256,0%,0,0,62801,3051,45.437,44.468,44.937,31400,0,38,38.75,605,605,1546,2005,2462,2405,3129,3129,48.5
08-14-2025 12:34:46,1,22,95,20,31,30,30,31,32.5,48.281,-256,-256,-256,0%,-256,0%,0,0,62801,3055,45.375,44.625,44.937,31400,0,38,39,605,605,1604,2005,2455,2405,3117,3028,48.281
08-14-2025 12:34:47,2,26,95,26,32,32,32,32,34.62,48.25,-256,-256,-256,0%,-256,0%,0,0,62801,3060,45.437,44.5,44.968,31400,0,38,39,605,605,1693,2406,2449,2405,3118,3129,48.25
08-14-2025 12:34:48,1,22,94,21,29,27,27,29,31.25,48.593,-256,-256,-256,0%,-256,0%,0,0,62801,3070,45.406,44.531,44.906,31400,0,38,38.75,605,605,1724,2005,2445,2405,3119,3129,48.593
