Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,30,/app/Datasets/wgisd/test/images/CDY_2017.jpg,448,640,13,302.9
2,30,/app/Datasets/wgisd/test/images/CDY_20180427_153421615_BURST001.jpg,480,640,12,300.5
3,30,/app/Datasets/wgisd/test/images/CDY_2032.jpg,448,640,14,47.8
4,30,/app/Datasets/wgisd/test/images/CDY_2033.jpg,448,640,16,35.8
5,30,/app/Datasets/wgisd/test/images/CDY_2044.jpg,448,640,13,35.5
6,30,/app/Datasets/wgisd/test/images/CDY_2053.jpg,448,640,9,35.7
7,30,/app/Datasets/wgisd/test/images/CFR_1621.jpg,448,640,17,35.9
8,30,/app/Datasets/wgisd/test/images/CFR_1630.jpg,448,640,11,35.6
9,30,/app/Datasets/wgisd/test/images/CFR_1634.jpg,448,640,14,35.6
10,30,/app/Datasets/wgisd/test/images/CFR_1641.jpg,448,640,21,35.9
11,30,/app/Datasets/wgisd/test/images/CFR_1650.jpg,448,640,6,35.7
12,30,/app/Datasets/wgisd/test/images/CFR_1661.jpg,448,640,9,35.8
13,30,/app/Datasets/wgisd/test/images/CFR_20180427_141010086_HDR.jpg,480,640,15,37.6
14,30,/app/Datasets/wgisd/test/images/CFR_20180427_141115778_HDR.jpg,480,640,14,36.0
15,30,/app/Datasets/wgisd/test/images/CFR_20180427_141119803_HDR.jpg,480,640,14,35.9
16,30,/app/Datasets/wgisd/test/images/CFR_20180427_141224656.jpg,480,640,18,35.9
17,30,/app/Datasets/wgisd/test/images/CFR_20180427_141254316_HDR.jpg,480,640,10,35.9
18,30,/app/Datasets/wgisd/test/images/CSV_1867.jpg,448,640,10,37.3
19,30,/app/Datasets/wgisd/test/images/CSV_1874.jpg,448,640,11,35.9
20,30,/app/Datasets/wgisd/test/images/CSV_1881.jpg,448,640,8,35.7
21,30,/app/Datasets/wgisd/test/images/CSV_1892.jpg,448,640,10,36.1
22,30,/app/Datasets/wgisd/test/images/SVB_1947.jpg,448,640,17,35.9
23,30,/app/Datasets/wgisd/test/images/SVB_1970.jpg,448,640,18,35.8
24,30,/app/Datasets/wgisd/test/images/SVB_20180427_152106643_HDR.jpg,480,640,20,37.7
25,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1265.jpg,448,640,8,37.2
26,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1275.jpg,448,640,7,35.9
27,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1285.jpg,448,640,19,35.8
28,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1300.jpg,448,640,8,35.8
29,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1312.jpg,448,640,13,36.1
30,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1338.jpg,448,640,7,35.8
