Timestamp,CPU_Core0_Load,CPU_Core1_Load,CPU_Core2_Load,CPU_Core3_Load,CPU_Core4_Load,CPU_Core5_Load,CPU_Core6_Load,CPU_Core7_Load,CPU_Load_Avg,CPU_Temp_C,CV0_Temp_C,CV1_Temp_C,CV2_Temp_C,EMC_FREQ,GPU_Temp_C,GR3D_FREQ,NC_mW_Avg,NC_mW_Current,RAM_Total_MB,RAM_Used_MB,SOC0_Temp_C,SOC1_Temp_C,SOC2_Temp_C,SWAP_Total_MB,SWAP_Used_MB,Tboard_Temp_C,Tdiode_Temp_C,VDDQ_VDD2_1V8AO_mW_Avg,VDDQ_VDD2_1V8AO_mW_Current,VDD_CPU_CV_mW_Avg,VDD_CPU_CV_mW_Current,VDD_GPU_SOC_mW_Avg,VDD_GPU_SOC_mW_Current,VIN_SYS_5V0_mW_Avg,VIN_SYS_5V0_mW_Current,tj_Temp_C
08-10-2025 10:57:46,2,0,87,0,0,0,0,0,11.12,47.406,-256,-256,-256,0%,43.25,4%,0,0,62801,3926,44.875,43.875,44.312,31400,0,37,38.25,706,706,1203,1203,2807,2807,3336,3336,47.406
08-10-2025 10:57:47,1,23,35,31,0,0,0,0,11.25,47.75,-256,-256,-256,0%,43.031,0%,0,0,62801,4168,44.812,43.968,44.312,31400,0,37,38.25,655,605,1203,1203,2807,2807,3285,3235,47.75
08-10-2025 10:57:48,0,100,0,0,0,0,0,0,12.5,47.5,-256,-256,-256,0%,43.187,0%,0,0,62801,4176,44.781,43.937,44.312,31400,0,37,38.25,638,605,1203,1203,2807,2807,3268,3235,47.5
08-10-2025 10:57:49,0,100,0,0,0,0,0,0,12.5,47.718,-256,-256,-256,0%,-256,0%,0,0,62801,4189,44.843,43.937,44.343,31400,0,37,38.25,630,605,1303,1605,2706,2406,3233,3129,47.625
08-10-2025 10:57:50,0,26,0,3,74,0,0,0,12.88,47.781,-256,-256,-256,0%,-256,0%,0,0,62801,4195,44.781,44,44.343,31400,0,37,38.25,625,605,1283,1203,2566,2005,3192,3028,47.781
08-10-2025 10:57:51,96,0,0,1,3,0,0,0,12.5,47.718,-256,-256,-256,0%,-256,0%,0,0,62801,4200,44.781,43.906,44.375,31400,0,37,38.25,605,504,1270,1203,2472,2005,3165,3028,47.437
08-10-2025 10:57:52,61,24,0,0,0,0,0,0,10.62,47.531,-256,-256,-256,0%,43.031,13%,0,0,62801,4465,44.75,44,44.406,31400,0,37,38.5,619,706,1260,1203,2520,2807,3189,3336,47.531
08-10-2025 10:57:53,0,22,57,0,0,0,0,0,9.88,47.656,-256,-256,-256,0%,43.25,39%,0,0,62801,4810,44.781,43.968,44.375,31400,0,37,38.25,617,605,1253,1203,2556,2807,3207,3336,47.437
08-10-2025 10:57:54,0,0,58,0,0,0,0,0,7.25,47.375,-256,-256,-256,0%,43.125,60%,0,0,62801,5059,44.875,43.968,44.312,31400,0,37,38.25,627,706,1247,1203,2628,3208,3233,3438,47.375
08-10-2025 10:57:55,0,0,89,0,0,1,0,1,11.38,47.781,-256,-256,-256,0%,43.375,36%,0,0,62801,5199,44.875,44.031,44.375,31400,0,37,38.5,645,807,1243,1203,2726,3610,3284,3741,47.781
08-10-2025 10:57:56,0,0,90,0,0,0,0,0,11.25,47.5,-256,-256,-256,0%,43.343,0%,0,0,62801,5259,44.843,44.062,44.375,31400,0,37,38.25,660,807,1239,1203,2843,4011,3334,3842,47.5
08-10-2025 10:57:57,1,0,87,1,0,0,0,0,11.12,47.781,-256,-256,-256,0%,43.437,0%,0,0,62801,5334,44.812,43.968,44.343,31400,0,37,38.5,672,808,1236,1203,2974,4412,3385,3943,47.781
08-10-2025 10:57:58,0,0,89,0,0,0,0,0,11.12,47.687,-256,-256,-256,0%,43.875,0%,0,0,62801,5385,44.875,44,44.406,31400,0,37,38.25,690,910,1233,1203,3084,4412,3428,3943,47.593
08-10-2025 10:57:59,2,0,89,0,0,0,0,0,11.38,47.843,-256,-256,-256,0%,43.406,76%,0,0,62801,5443,44.843,43.968,44.406,31400,0,37,38.5,706,910,1231,1203,3179,4412,3465,3943,47.843
